niche,count
gunsmith,2
gymnastics_center,2
health_coach,2
health_food_restaurant,2
health_spa,2
herb_and_spice_shop,2
herbal_shop,2
horse_racing_track,2
hydraulic_equipment_supplier,2
hypnosis_hypnotherapy,2
ice_skating_rink,2
inspection_services,2
irrigation,2
jail_and_prison,2
junk_removal_and_hauling,2
kids_recreation_and_party,2
kiosk,2
kitchen_remodeling,2
laser_eye_surgery_lasik,2
laser_hair_removal,2
lice_treatment,2
massage_school,2
maternity_wear,2
meat_shop,2
meat_wholesaler,2
media_news_company,2
media_restoration_service,2
medical_law,2
medical_school,2
mortuary_services,2
motorcycle_rentals,2
nursing_school,2
occupational_safety,2
party_bus_rental,2
payroll_services,2
pet_training,2
pizza_delivery_service,2
planetarium,2
plastic_fabrication_company,2
poultry_farm,2
prenatal_perinatal_care,2
pressure_washing,2
professional_sports_league,2
prosthodontist,2
rafting_kayaking_area,2
railroad_freight,2
real_estate_law,2
reiki,2
religious_destination,2
rock_climbing_spot,2
salvadoran_restaurant,2
science_museum,2
scuba_diving_center,2
seafood_wholesaler,2
shipping_collection_services,2
sleep_specialist,2
southern_restaurant,2
sports_school,2
steel_fabricators,2
stock_and_bond_brokers,2
stone_and_masonry,2
structural_engineer,2
tapas_bar,2
tattoo,2
television_station,2
tenant_and_eviction_law,2
theaters_and_performance_venues,2
travel_company,2
truck_dealer,2
visitor_center,2
water_park,2
welders,2
wholesale_grocer,2
wholesaler,2
womens_health_clinic,2
zoo,2
adult_education,1
aerial_tours,1
after_school_program,1
agriculture_association,1
aircraft_dealer,1
aircraft_repair,1
airlines,1
alcohol_and_drug_treatment_centers,1
aquarium,1
aquatic_pet_store,1
archaeological_services,1
argentine_restaurant,1
art_supply_store,1
astrologer,1
automotive_consultant,1
automotive_storage_facility,1
aviation_museum,1
avionics_shop,1
awning_supplier,1
b2b_agriculture_and_food,1
b2b_electronic_equipment,1
b2b_science_and_technology,1
b2b_tractor_dealers,1
baby_gear_and_furniture,1
backflow_services,1
bagel_restaurant,1
balloon_ports,1
bank_equipment_service,1
barre_classes,1
battery_store,1
beer_tours,1
bike_tours,1
billing_services,1
bingo_hall,1
boat_tours,1
bookbinding,1
books_mags_music_and_video,1
boudoir_photography,1
boxing_gym,1
burmese_restaurant,1
business_brokers,1
business_financing,1
car_inspection,1
career_counseling,1
caribbean_restaurant,1
chambers_of_commerce,1
chemical_plant,1
chicken_wings_restaurant,1
child_protection_service,1
child_psychiatrist,1
childrens_hospital,1
childrens_museum,1
circus,1
clock_repair_service,1
coffee_roastery,1
commercial_printer,1
commercial_refrigeration,1
computer_coaching,1
computer_hardware_company,1
construction_management,1
copywriting_service,1
crane_services,1
crisis_intervention_services,1
cuban_restaurant,1
cultural_center,1
custom_cakes_shop,1
customized_merchandise,1
dairy_stores,1
dental_supply_store,1
dive_shop,1
drive_in_theater,1
dui_law,1
educational_supply_store,1
electric_utility_provider,1
electricity_supplier,1
electronic_parts_supplier,1
emergency_pet_hospital,1
emergency_roadside_service,1
energy_management_and_conservation_consultants,1
engraving,1
esthetician,1
european_restaurant,1
executive_search_consultants,1
farm_equipment_and_supply,1
farm_equipment_repair_service,1
fertility,1
filipino_restaurant,1
fish_farm,1
fishing_club,1
formal_wear_store,1
frozen_yoghurt_shop,1
furniture_manufacturers,1
furniture_reupholstery,1
generator_installation_repair,1
geriatric_medicine,1
german_restaurant,1
glass_manufacturer,1
go_kart_club,1
gold_buyer,1
golf_equipment,1
golf_instructor,1
grout_service,1
guest_house,1
hair_replacement,1
handbag_stores,1
health_and_wellness_club,1
health_department,1
health_market,1
heliports,1
hematology,1
holiday_decor,1
holistic_animal_care,1
home_and_rental_insurance,1
home_automation,1
home_organization,1
horse_equipment_shop,1
hospital_equipment_and_supplies,1
hospitalist,1
hot_air_balloons_tour,1
hotel_supply_service,1
house_sitting,1
hybrid_car_repair,1
hydroponic_gardening,1
imported_food,1
importer_and_exporter,1
international_grocery_store,1
internet_cafe,1
irish_pub,1
it_consultant,1
jazz_and_blues,1
karate_club,1
kids_hair_salon,1
knife_sharpening,1
laboratory_equipment_supplier,1
laser_tag,1
lawn_mower_repair_service,1
lawn_service,1
lebanese_restaurant,1
lighting_fixtures_and_equipment,1
local_and_state_government_offices,1
logging_services,1
luggage_store,1
mass_media,1
media_news_website,1
mediator,1
medical_research_and_development,1
medical_sciences_schools,1
merchandising_service,1
metal_plating_service,1
metals,1
middle_eastern_restaurant,1
mining,1
mission,1
mobile_clinic,1
molecular_gastronomy_restaurant,1
mongolian_restaurant,1
montessori_school,1
motorcycle_gear,1
musical_instrument_services,1
musician,1
natural_hot_springs,1
observatory,1
olive_oil,1
opera_and_ballet,1
organic_grocery_store,1
osteopathic_physician,1
outdoor_furniture_store,1
paralegal_services,1
pasta_shop,1
patisserie_cake_shop,1
pawn_shop,1
pediatric_cardiology,1
pediatric_endocrinology,1
pediatric_gastroenterology,1
persian_iranian_restaurant,1
personal_shopper,1
pharmaceutical_companies,1
piano_store,1
pie_shop,1
piercing,1
pipe_supplier,1
polish_restaurant,1
pool_billiards,1
pool_hall,1
